Emotion,Text
Hopeful,From my Mouth to God's ears! My dirty Thirty I want it to go down in Jamaica.
Sadness,I hope my mom don't cry tomorrow
Hopeful,I hope my mom don't cry tomorrow
Dissapointed,That's not even scary. I don't like it at all.
Happy,happiness.
Excitement,Not even embarssed that I'm excited about the Life of Kylie 🤷🏾‍♂️
Proud,Don't play with #AryaStark
lol,@NYCFirm When your old and gray ? ..... 😂
Excitement,The tools that make the thing are often just as awesome as the thing
Thoughtful,The tools that make the thing are often just as awesome as the thing
Sarcastic,....even though I slept in until 10 napped from 12-6 and didn't do anything all night #thestruggleisREAL
Thoughtful,"""Old enough to know better young enough to not give a fuck"""
Excitement,I'm thinking about doing some wild tomorrow 😂😻
Anger/Upset,Oh fuck off HBO
lol,@mcuban @RealSaavedra I always thought he looked like a russkie shatk!! lol
Proud,Jordan's new cut I did today
Frustrated,Just sat there for 5 minutes waiting for my chicken to cook only to realize I didn't turn the burner on..
Dissapointed,In Canada and all out west there was like no trash on the ground so pretty...WE COULD LOOK LIKE THAT IF PEOPLE DECIDE TO START GIVING A FUCK
lol,I get too salty &amp; protective and that's why I'm single lol
Excitement,Arya is a BAMF as always!!!  #ThronesYall #GameofThrones #GoTS7 #GOT @Maisie_Williams
Amazed,Arya is a BAMF as always!!!  #ThronesYall #GameofThrones #GoTS7 #GOT @Maisie_Williams
Anger/Upset,the worst thing is when people point out my acne :(
Sadness,the worst thing is when people point out my acne :(
None,#ToyotaofBoerne is #nowplaying Love Train by #O'Jays #cubevenue
Anger/Upset,"@jimsteyer 
What did I just read in your e-mail from @johnpodesta in #wikileaks?

😡😡😡"
Confusion,@stevekawalerski This was meant for me wasn't it
Excitement,New year new adventures! #northwestern #northwesternlaw #lawreview @ Northwestern Law https://t.co/DwecUi75Yu
Thankful,Thank you for sharing @ZeldaUniverse! You guys are awesome! :D https://t.co/FaV4LaveaQ
Thankful,Thank you LPD for always supporting our kids ❤️ https://t.co/3NWw25HfYZ
