Text,Love,Happy,Suprise,Anger/Upset,Sadness,Fear,lol,Confusion,Amusment/Interest?,Excitement,Thoughtful,Proud,Thankful,Frustrated,Sarcastic,Dissapointed,Hopeful,Amazed,Other,None,Classifier
From my Mouth to God's ears! My dirty Thirty I want it to go down in Jamaica.,,,,,,,,,,,,,,,,,x,,,,v
I hope my mom don't cry tomorrow,,,,,x,,,,,,,,,,,,x,,,,v
That's not even scary. I don't like it at all.,,,,,,,,,,,,,,,,x,,,,,v
happiness.,,x,,,,,,,,,,,,,,,,,,,v
Not even embarssed that I'm excited about the Life of Kylie 🤷🏾‍♂️,,,,,,,,,,x,,,,,,,,,,,v
Don't play with #AryaStark,,,,,,,,,,,,x,,,,,,,,,v
@NYCFirm When your old and gray ? ..... 😂,,,,,,,x,,,,,,,,,,,,,,v
The tools that make the thing are often just as awesome as the thing,,,,,,,,,,x,x,,,,,,,,,,v
....even though I slept in until 10 napped from 12-6 and didn't do anything all night #thestruggleisREAL,,,,,,,,,,,,,,,x,,,,,,v
"""Old enough to know better young enough to not give a fuck""",,,,,,,,,,,x,,,,,,,,,,v
I'm thinking about doing some wild tomorrow 😂😻,,,,,,,,,,x,,,,,,,,,,,v
Oh fuck off HBO,,,,x,,,,,,,,,,,,,,,,,v
@mcuban @RealSaavedra I always thought he looked like a russkie shatk!! lol,,,,,,,x,,,,,,,,,,,,,,v
Jordan's new cut I did today,,,,,,,,,,,,x,,,,,,,,,v
Just sat there for 5 minutes waiting for my chicken to cook only to realize I didn't turn the burner on..,,,,,,,,,,,,,,x,,,,,,,v
In Canada and all out west there was like no trash on the ground so pretty...WE COULD LOOK LIKE THAT IF PEOPLE DECIDE TO START GIVING A FUCK,,,,,,,,,,,,,,,,x,,,,,v
I get too salty &amp; protective and that's why I'm single lol,,,,,,,x,,,,,,,,,,,,,,v
Arya is a BAMF as always!!!  #ThronesYall #GameofThrones #GoTS7 #GOT @Maisie_Williams,,,,,,,,,,x,,,,,,,,x,,,v
the worst thing is when people point out my acne :(,,,,x,x,,,,,,,,,,,,,,,,v/w
#ToyotaofBoerne is #nowplaying Love Train by #O'Jays #cubevenue,,,,,,,,,,,,,,,,,,,,x,w
"@jimsteyer 
What did I just read in your e-mail from @johnpodesta in #wikileaks?

😡😡😡",,,,x,,,,,,,,,,,,,,,,,w
@stevekawalerski This was meant for me wasn't it,,,,,,,,x,,,,,,,,,,,,,w
New year new adventures! #northwestern #northwesternlaw #lawreview @ Northwestern Law https://t.co/DwecUi75Yu,,,,,,,,,,x,,,,,,,,,,,w
Thank you for sharing @ZeldaUniverse! You guys are awesome! :D https://t.co/FaV4LaveaQ,,,,,,,,,,,,,x,,,,,,,,w
Thank you LPD for always supporting our kids ❤️ https://t.co/3NWw25HfYZ,,,,,,,,,,,,,x,,,,,,,,w
"I moved from sleepy St. Paul to bustling uptown Minneapolis during the 2009 art fair. 
It was traumatic. I haven't gone to the fair since.",,,,,,x,,,,,,,,,,,,,,,w
Such an emotionless person without you,,,,,x,,,,,,,,,,,,,,,,w
Don't play that New Orleans bs 🚮,,,,x,,,,,,,,,,,,,,,,,w
@coachchadmorris enjoyed hearing you on ESPN today Coach. Go Mustangs,,x,,,,,,,,x,,,,,,,,,,,w
Major mood https://t.co/Hfv3EZY8iI,,,,,,,,,,,,,,,,,,,,x,w
Lines on cars you see in the daytime completely transform at night absolutely… https://t.co/ri7cyp2G4I,,,,,,,,,x,,,,,,,,,,,,w
"Very interesting read. I support the Soccer Pyramid but not the ""scheme"" one though LOL https://t.co/UIOF0zHA6k",,,,,,,,,x,,,,,,,,,,,,w
I wanna go floating 😕,,,,,x,,,,,,,,,x,,,,,,,w
@JaclynGlenn @YouTube hope you're feeling better. Take care of yourself. Hugs,x,,,,,,,,,,,,,,,,x,,,,w
@fluttershyster @HAGOODMANAUTHOR @BenjaminPDixon @caitoz @RealTimBlack You're,,,,,,,,,,,,,,,,,,,,x,w
@ food https://t.co/dX6w7e8y59,,,,,,,,,,,,,,,,,,,,x,w
"@GreatHOSHANA JESUS is https://t.co/B6xjC4ggG2    
 Over30000 OnSiteLastMoPleaseShareOK",,,,,,,,,,,,,,,,,,,,x,w
"I'm selling my Mac Mini with its Intel Core i7 16GB RAM 256GB SSD running macOS Sierra.

https://t.co/5i7ubxfjNr",,,,,,,,,,,,,,,,,,,,x,w
14:21   NNW@1 mph(Light Air) Gst:1 mph   Dry   88°F(Feels 94°F)   RH:56%   Dp:71°F   BP:29.9inHg    Mn:Waxing Gibbous #CarolinaWx #ClaytonNC,,,,,,,,,,,,,,,,,,,,x,w
"I’ll try again:

Wow. That’s amazing. Job 36:29-30.

https://t.co/eNOQHH50wx

ht: @BartMcCurdy",,,,,,,,,,,,,,,,,,x,,,w
"🗝 I am absolutely loving the look as it comes along in the upstairs guest bathroom remodel.
✖️… https://t.co/umtSDGDbXS",,,,,,,,,,x,,,,,,,,,,,w
Happy birthday to my pookie dookie @MONtrelDAYS . We are both crazy as hell but noting can stop us 😘😘😘 https://t.co/5EmgAKz9CK,x,,,,,,,,,,,,,,,,,,,,w
lol guess who just fell down like four of her stairs and can't walk but had to go to work in 30 mins 🙃🙃,,,,,x,,x,,,,,,,,,,,,,,w
Bitch I miss you tooo ☹️☹️☹️☹️ https://t.co/U9LjdeErri,,,,,x,,,,,,,,,,,,,,,,w
"@_OGSteez FW17. Coming soon. 
""Loyalty builds Legacies"" 
#ONTHELEGALGRIND @ The Woodlands Texas https://t.co/cTkXvzKRQN",,,,,,,,,,,,,,,,,,,,x,w
https://t.co/RqwkAW2upu @ Spring Valley Tavern Sports Grill https://t.co/aolZSMTFcd,,,,,,,,,,,,,,,,,,,,x,w
Finally at the beach! https://t.co/7Ix4R4ZE9L,,x,,,,,,,,,,,,,,,,,,,w
posts like this really upset me... like just let girls do what they want and don't complain unless we're hurting so… https://t.co/i4chL7rsoQ,,,,x,,,,,,,,,,,,,,,,,w
